movie_id,year,rev_minus_cost
Drop Dead Gorgeous,1999,571408.0
The Haunting,1999,11188905.0
Trick,1999,1599595.0
Deep Blue Sea,1999,13648228.0
Mystery Men,1999,-38237989.0
Runaway Bride,1999,239457509.0
Dick,1999,14500000.0
The Iron Giant,1999,-46840695.0
The Sixth Sense,1999,632806292.0
The Thomas Crown Affair,1999,76305181.0
Brokedown Palace,1999,-12000000.0
Detroit Rock City,1999,-2282885.0
An American Werewolf in Paris,1997,4570463.0
Teaching Mrs. Tingle,1999,-4053763.0
Universal Soldier: The Return,1999,-34332107.0
In Too Deep,1999,7011454.0
The 13th Warrior,1999,-98301101.0
The Astronaut's Wife,1999,-55401412.0
Chill Factor,1999,-58736034.0
Outside Providence,1999,292175.0
Stigmata,1999,21041732.0
Stir of Echoes,1999,9133087.0
American Beauty,1999,341296601.0
Blue Streak,1999,52758500.0
Double Jeopardy,1999,107841558.0
Guinevere,1999,-1985798.0
Drive Me Crazy,1999,14593409.0
Mystery Alaska,1999,-19111857.0
Three Kings,1999,33000000.0
Happy Texas,1999,243649.0
Random Hearts,1999,10608570.0
Boys Don't Cry,1999,9540607.0
The Limey,1999,-6806898.0
Hard Eight,1996,-2777441.0
Naturally Native,1999,-689492.0
Fight Club,1999,37853753.0
The Story of Us,1999,8900031.0
The Best Man,1999,25573780.0
House on Haunted Hill,1999,21846082.0
Music of the Heart,1999,-12140606.0
Being John Malkovich,1999,9863596.0
Dreaming of Joseph Lees,1999,-1999993.0
もののけ姫,1997,132875308.0
The Bachelor,1999,-14088383.0
The Bone Collector,1999,78493655.0
The Insider,1999,-29710088.0
Anywhere But Here,1999,-4346385.0
Dogma,1999,20652890.0
Joan of Arc,1999,6976317.0
劇場版ポケットモンスター ミュウツーの逆襲,1998,133644662.0
Sleepy Hollow,1999,106071502.0
The World Is Not Enough,1999,226832400.0
Todo sobre mi madre,1999,59600000.0
End of Days,1999,111989043.0
Toy Story 2,1999,407366869.0
Ride with the Devil,1999,-37364904.0
Tumbleweeds,1999,969176.0
The End of the Affair,1999,-12172184.0
Deuce Bigalow: Male Gigolo,1999,48535067.0
The Green Mile,1999,224600000.0
The Cider House Rules,1999,64545092.0
Bicentennial Man,1999,-6300000.0
Stuart Little,1999,167135367.0
Fantasia 2000,1999,10874570.0
Magnolia,1999,11451803.0
Onegin,1999,-13793872.0
Simpatico,1999,-9070394.0
Any Given Sunday,1999,45230832.0
Man on the Moon,1999,-34565570.0
Galaxy Quest,1999,45683916.0
The Talented Mr. Ripley,1999,88798265.0
Next Friday,2000,48827328.0
The Hurricane,1999,23956241.0
Angela's Ashes,1999,-12.0
Play It to the Bone,1999,-15565854.0
Supernova,2000,-75171919.0
Theeviravaathi: The Terrorist,1998,115467.0
Isn't She Great,2000,-32996704.0
Scream 3,2000,121834276.0
The Boondock Saints,1999,-5969529.0
Gun Shy,2000,-8368161.0
The Beach,2000,104056873.0
The Tigger Movie,2000,15554533.0
Trois,2000,960268.0
Boiler Room,2000,2780255.0
Hanging Up,2000,-3962091.0
Pitch Black,2000,30187659.0
The Whole Nine Yards,2000,65071651.0
Reindeer Games,2000,-9831030.0
3 Strikes,2000,3000000.0
Drowning Mona,2000,-572808.0
The Next Best Thing,2000,-637228.0
Beyond the Mat,1999,-1553648.0
Mission to Mars,2000,-29125385.0
The Ninth Gate,1999,20401898.0
Erin Brockovich,2000,204271286.0
Final Destination,2000,30302314.0
Romeo Must Die,2000,66036760.0
Whatever It Takes,2000,-5097885.0
Waking the Dead,2000,-8172582.0
High Fidelity,2000,17126295.0
The Road to El Dorado,2000,-18567273.0
The Skulls,2000,20007180.0
Black and White,1999,-4758685.0
Frequency,2000,37106245.0
Ready to Rumble,2000,-11627590.0
Return to Me,2000,12609995.0
Rules of Engagement,2000,11000000.0
American Psycho,2000,27266564.0
Keeping the Faith,2000,7036004.0
East Is East,1999,24400000.0
Gossip,2000,-8891180.0
Love & Basketball,2000,7728118.0
U-571,2000,65666415.0
The Virgin Suicides,1999,4409377.0
The Flintstones in Viva Rock Vegas,2000,-23531725.0
Where the Heart Is,2000,18771174.0
The Big Kahuna,2000,-3271112.0
Idioterne,1998,-2492765.0
Gladiator,2000,354640427.0
Human Traffic,1999,3400000.0
Battlefield Earth,2000,-22600000.0
Center Stage,2000,-799075.0
Hamlet,2000,-431251.0
Dinosaur,2000,226748063.0
Road Trip,2000,103754278.0
The Myth Of Fingerprints,1997,-1541185.0
Mission: Impossible II,2000,421388105.0
Shanghai Noon,2000,1932305.0
Big Momma's House,2000,143959438.0
Gone in Sixty Seconds,2000,147202299.0
Love's Labour's Lost,2000,-12700208.0
Boys and Girls,2000,4627372.0
Shaft,2000,61196498.0
Titan A.E.,2000,-38245366.0
La lengua de las mariposas,1999,3000000.0
Chicken Run,2000,179834564.0
Me Myself & Irene,2000,98270999.0
The Patriot,2000,105294342.0
The Adventures of Rocky & Bullwinkle,2000,-40865180.0
The Perfect Storm,2000,205756637.0
The Kid,2000,4700000.0
Scary Movie,2000,259019771.0
But I'm a Cheerleader,1999,1400000.0
X-Men,2000,221339527.0
The In Crowd,2000,-9782502.0
What Lies Beneath,2000,55464351.0
劇場版ポケットモンスター 幻のポケモン ルギア爆誕,1999,103949270.0
Nutty Professor II: The Klumps,2000,39307945.0
Coyote Ugly,2000,68916474.0
Hollow Man,2000,95213455.0
Space Cowboys,2000,63884132.0
Saving Grace,2000,16330482.0
The Cell,2000,71155843.0
Gojira ni-sen mireniamu,1999,9037390.0
The Art of War,2000,-9800895.0
Bring It On,2000,62449929.0
Highlander: Endgame,2000,-9156392.0
The Way of the Gun,2000,10625401.0
Almost Famous,2000,-12616311.0
Under Suspicion,2000,-24739438.0
Urban Legends: Final Cut,2000,24574362.0
Dancer in the Dark,2000,27231879.0
The Broken Hearts Club: A Romantic Comedy,2000,744858.0
Remember the Titans,2000,106706683.0
Get Carter,2000,-44187007.0
Meet the Parents,2000,275444045.0
Requiem for a Dream,2000,2890108.0
The Ladies Man,2000,-10300000.0
Billy Elliot,2000,105000000.0
Bedazzled,2000,42383208.0
Pay It Forward,2000,15707411.0
The Little Vampire,2000,-8444012.0
Charlie's Angels,2000,172105545.0
The Legend of Bagger Vance,2000,-40540573.0
Men of Honor,2000,16814909.0
Red Planet,2000,-46536031.0
The 6th Day,2000,14085477.0
Bounce,2000,1779296.0
How the Grinch Stole Christmas,2000,222141403.0
Rugrats in Paris: The Movie,2000,73.0
102 Dalmatians,2000,98611771.0
Quills,2000,-6439124.0
Unbreakable,2000,173118121.0
卧虎藏龙,2000,196525736.0
Dungeons & Dragons,2000,-19814759.0
Vertical Limit,2000,140663859.0
Snatch,2000,73557872.0
Chocolat,2000,127500343.0
Dude Where’s My Car?,2000,60180723.0
The Emperor's New Groove,2000,69327687.0
Pollock,2000,2.0
What Women Want,2000,304111707.0
Finding Forrester,2000,37049764.0
The Gift,2000,2008642.0
Cast Away,2000,339632142.0
The House of Mirth,2000,-4835596.0
Miss Congeniality,2000,167000000.0
O Brother Where Art Thou?,2000,45868327.0
Dracula 2000,2000,5000337.0
Thirteen Days,2000,-45433254.0
Traffic,2000,159515725.0
Shadow of the Vampire,2000,279017.0
Antitrust,2001,-11804390.0
Save the Last Dance,2001,78038276.0
Panic,2000,-220863.0
The Pledge,2001,-5600000.0
